SKU,Location, QTY , Line ,Weight,depth,height,Vol
ER6866-000,H2-2-28-2,895,1,12,20,0,24
5-2409556-0,N1-5-26-2,895,1,21,28,1,298
1670146-3,B2-3-37-2,895,4,22,28,0,238
5-353011-1,A1-1-34-1,895,1,22,28,1,300
2822393-1,D1-4-29-2,895,1,22,28,1,300
1903390-1,K1-4-60-1,895,1,22,28,1,298
963904-1,H1-3-57-2,895,1,21,27,0,57
206966-7,K2-3-30-1,895,1,22,28,1,299
2-292207-6,C1-3-14-2,895,3,22,28,1,299
1-1123320-3,A1-2-42-1,895,1,21,28,1,417
1-1123320-5,A1-1-45-1,895,1,21,28,1,417
1717398-1,A1-1-14-2,895,3,21,28,1,417
1903169-3,A1-0-28-1,895,5,21,28,1,405
1-912156-5,I1-0-42-2,895,4,21,28,1,405
1939922-1,K2-0-1-2,895,1,22,28,0,237
2229487-1,A1-0-13-2,895,1,18,24,0,177
2229745-1,B1-5-47-1,895,10,14,22,0,92
2287754-1,A1-0-1-2,895,2,19,25,1,252
2287754-1,A1-0-1-2,895,1,21,28,1,632
2330588-1,L2-3-12-2,895,2,20,28,1,800
5-912162-5,I1-0-22-1,895,2,20,28,1,683
2290477-2,A2-5-27-2,895,1,21,28,1,455
2352424-1,L2-4-25-1,894,1,20,28,3,"1,557"
1-917659-5,B1-3-3-2,894,1,21,28,1,287
175164-1,B1-3-33-2,894,2,21,28,1,456
1473898-6,A2-5-3-2,894,2,20,28,1,455
175269-1,B2-1-18-1,894,9,21,28,1,402
178326-5,D2-5-24-1,894,1,21,28,1,460
1473565-6,D2-3-48-1,894,1,21,28,1,339
2-969613-1,G1-2-54-1,894,1,16,24,0,38
2260992-4,L2-0-18-1,894,2,16,24,5,"1,996"
1565377-1,C1-4-22-1,894,5,14,21, -   , -   
2290477-2,A2-5-27-2,894,1,22,28,2,"1,035"
590760-000,N2-1-37-1,894,2,23,29,3,"1,992"
1554558-2,B1-3-17-1,894,2,23,29,3,"1,992"
1717139-1,B1-2-16-2,894,2,23,29,3,"1,992"
1939403-3,B1-1-22-1,894,1,23,29,5,"3,257"
179631-1,A2-5-42-1,894,3,23,29,5,"3,257"
1-2229101-2,D2-3-2-2,894,1,23,29,5,"3,257"
1939921-2,B1-0-34-2,894,3,23,29,5,"3,257"
41802,P2-4-59-1,894,1,23,30,4,"2,928"
41802,P2-4-59-1,894,2,23,30,4,"2,928"
2174106-1,B1-3-26-1,894,2,23,30,4,"2,928"
1871806-1,A2-4-55-2,894,2,23,30,4,"2,928"
2351405-1,A2-5-22-1,893,1,22,28,1,304
2229808-1,B2-3-49-1,893,5,21,27,0,57
1-2295435-1,I2-2-48-1,893,5,15,23,3,"1,013"
2342995-1,A2-4-37-1,893,1,15,23,2,704
2289503-2,A2-4-4-1,893,2,15,23,3,"1,136"
2312324-2,A2-3-50-1,893,1,15,23,3,"1,136"
2371439-1,B1-2-14-2,893,1,13,20,2,502
2342995-1,A2-4-37-1,893,1,15,22,0,33
2261071-2,A2-4-35-1,893,2,18,24,0,43
2383494-3,D1-4-19-1,893,1,18,24,0,43
3-1447223-7,M1-5-24-2,893,1,18,25,2,775
2330678-1,D1-4-8-2,893,1,16,23,4,"1,301"
1-917807-2,B1-5-30-1,893,1,15,24,0,36
2391895-1,M1-0-6-2,893,4,18,24,4,"1,552"
1-1827864-4,C1-4-8-1,893,1,18,24,4,"1,552"
3-5175472-8,B2-5-44-2,893,1,18,24,4,"1,552"
1456781-1,J1-1-32-2,893,1,18,24,4,"1,552"
2358986-1,A2-4-55-1,893,1,18,26,6,"2,733"
7-1414985-1,B2-0-8-1,893,2,14,22,0,89
172509-1,F1-4-16-2,893,1,21,29,2,"1,403"
1473793-1,F1-1-50-1,893,5,18,24,1,222
172516-1,C1-4-29-1,893,1,14,21,1,147
1674872-1,B1-1-44-2,892,4,21,27,0,57
1554859-1,J1-2-60-1,892,1,22,28,4,"2,365"
353838-1,C1-2-8-1,892,2,22,28,4,"2,402"
1674643-1,B2-3-38-1,892,1,22,28,2,"1,357"
174090-2,B1-0-50-1,892,9,18,24,1,223
2065769-1,F2-1-54-2,892,1,20,24,1,236
1318745-5,C1-1-22-1,892,7,20,24,1,236
1318694-1,B2-2-24-2,892,2,20,24,1,238
174972-2,K1-0-20-1,892,1,20,24,1,236
1318386-1,D1-1-49-1,892,4,20,24,1,236
1123899-1,A2-3-52-1,892,1,21,28,1,399
2328267-1,L2-2-59-2,892,1,20,24,1,287
1318745-5,C1-1-22-1,892,10,14,21,0,29
1-912161-8,I1-1-8-1,892,1,14,21,0,29
2290489-5,A1-0-9-2,892,1,14,21,0,29
2289106-1,L2-0-45-2,892,1,18,24,3,"1,142"
2366604-2,A1-2-33-2,892,1,18,24, -   , -   
2822349-1,A1-4-1-2,892,1,18,24,0,43
175784-1,A1-1-58-1,891,1,18,24,0,43
968398-1,O2-2-19-2,891,1,18,24,0,43
2134869-1,A2-3-55-2,891,3,18,24,0,43
1827628-1,K1-3-54-2,891,4,18,24,0,43
2331755-1,B1-1-26-1,891,4,20,25,1,420
1981561-2,F2-0-50-2,891,15,19,25,1,566
1903608-2,B2-1-19-2,891,1,20,25,2,754
1565083-1,F1-2-17-2,891,7,20,25,2,754
1-1376905-0,A1-5-9-2,891,1,20,25,2,754
2309579-1,F2-5-58-2,891,1,1,25,0,10
1011-237-0405,I1-2-44-1,891,2,19,24,0,134
1123320-1,A1-1-16-2,891,1,19,25,0,211
CD20383001,A2-5-40-2,891,3,18,24,0,43
1871864-1,C2-1-10-1,891,3,18,24,1,359
172496-1,J2-3-60-2,891,1,19,24,1,559
2822363-1,M1-3-13-1,891,13,18,24,1,486
2260805-2,A1-0-25-1,891,2,14,21,0,29
170330-1,J2-1-7-2,891,1,14,21,0,29
1-1971032-5,E2-5-57-1,891,1,15,23,2,837
2-1445050-8,C2-4-51-2,890,1,21,27,1,454
6-2260661-1,C2-2-20-1,890,1,21,27,1,454
1563189-1,D1-2-5-1,890,1,21,27,1,567
6-1747072-6,N2-3-6-1,890,1,21,27,1,567
1-178141-3,B2-1-11-2,890,1,21,27,2,851
2260799-1,A1-1-22-2,890,6,20,29,2,"1,105"
172165-1,D2-4-38-2,890,1,19,25,3,"1,502"
2-1445050-8,C2-4-51-2,890,3,14,21,0,29
292207-7,A2-5-25-1,890,1,14,21,0,29
1376807-2,D2-3-32-2,890,1,21,27,0,57
1-1903391-2,D1-1-34-2,890,2,21,27,0,57
DT06-6S-CE05,B2-2-20-2,890,2,21,27,0,57
2174214-2,C1-1-56-2,890,1,21,27,0,57
117451-000,B2-4-60-1,890,2,21,27,0,57
3-456402-5,G1-4-32-2,890,1,21,27,0,57
2844968-1,G1-2-35-2,890,1,21,27,0,57
ZPF000000000122887,C2-3-10-2,889,2,21,27,0,57
2261076-2,L2-0-20-2,889,1,21,27,0,57
2-175363-1,E1-0-54-1,889,2,21,27,0,57
1376390-1,J1-0-18-1,889,5,21,27,2,"1,134"
170096-2,F1-3-14-1,889,1,21,27,0,57
175024-1,F1-4-54-2,889,1,21,27,0,57
1376807-2,D2-3-32-2,889,1,14,21,0,29
179227-1,C2-4-25-1,889,1,16,24,0,38
917803-2,B2-5-54-1,889,1,18,26,6,"2,548"
1-725652-0,J2-4-8-1,889,1,20,27,1,648
1565080-1,C1-4-21-1,889,7,20,27,0,54
T2030422201-000,H2-3-48-1,889,1,21,28,1,410
2108858-2,K2-4-5-2,889,1,21,28,0,171
174354-2,B1-3-17-2,889,1,21,28,0,171
1123320-3,A1-1-38-1,889,2,21,28,1,515
1318383-3,A1-4-52-2,889,15,21,28,1,515
1-912157-0,I1-0-5-2,888,1,21,28,1,515
2229076-7,A1-1-43-2,888,2,21,28,1,515
2229990-1,A1-0-5-2,888,8,21,28,0,58
2260821-1,A1-1-14-1,888,4,21,28,0,58
2260908-1,A1-0-28-2,888,2,21,28,1,286
2260908-1,A1-0-28-2,888,2,21,28,1,286
2289505-1,A1-4-26-2,888,3,21,28,0,237
2330588-1,L2-3-12-2,888,1,14,21,0,29
2345161-1,A1-0-4-1,888,1,16,25,4,"1,418"
776267-1,C2-2-26-1,888,1,18,24,1,266
828921-1,H1-1-26-1,888,1,18,24,1,266
8-912142-5,I1-0-9-1,888,8,19,24,1,281
2260110-7,L1-5-46-2,888,1,20,24,1,285
6565204-1,N2-5-3-2,888,1,18,25,1,270
917480-2,O1-5-38-1,888,1,20,25,1,288
2371056-5,L2-5-13-1,888,1,20,29,2,"1,105"
174055-2,F1-4-34-2,888,1,20,25,1,338
2260813-4,A2-4-37-2,888,1,20,29,2,"1,105"
1939965-1,C1-0-27-2,887,1,18,24,1,222
1939403-2,A2-5-47-2,887,2,18,24,1,221
174147-2,C1-1-36-1,887,1,18,24,1,219
2-1971030-3,E1-1-6-1,887,1,18,24,1,222
2174126-1,B2-0-2-2,887,1,19,24,1,312
1939350-1,B1-0-52-1,887,4,18,24,0,22
2383494-3,D1-4-19-1,887,2,18,24,0,22
1827487-1,C2-4-29-2,887,1,18,24,1,266
353715-2,D1-4-52-2,887,1,18,24,1,266
2321738-1,C1-4-59-1,887,4,18,24,1,222
2260992-1,B1-3-60-1,887,1,18,24,1,222
2201816-2,B1-1-28-1,887,2,18,24,1,263
2351254-1,B1-3-13-1,887,2,19,24,0,133
2342995-1,A2-4-37-1,887,1,24,19,0,178
2312240-3,C1-4-58-2,887,11,19,24,0,178
2261071-1,A2-4-39-1,887,1,19,24,1,222
2229669-1,A2-3-51-2,887,1,19,24,1,222
2342995-1,A2-4-37-1,887,1,24,19,1,222
1-1318750-8,A2-4-11-1,887,1,24,19,1,266
2229994-2,A2-3-48-1,887,1,19,24,1,222
2328276-1,A2-5-23-2,887,2,14,21,0,29
2289093-4,L2-0-44-1,887,1,18,24, -   , -   
2260316-2,B2-1-43-1,887,1,18,24, -   , -   
2261071-2,A2-4-35-1,887,1,18,24, -   , -   
1-178128-6,C2-0-22-1,887,1,18,24, -   , -   
1473649-2,A2-3-54-1,886,3,21,30,1,777
776001-1,B1-1-33-1,886,1,18,24, -   , -   
1903703-7,K1-5-7-2,886,3,18,24, -   , -   
171630-1,B1-0-19-2,886,1,18,24, -   , -   
175124-1,A2-5-19-1,886,2,14,21,0,29
900412-2,B1-3-15-2,886,1,14,21,0,29
1-1318114-3,C2-0-13-2,886,1,17,25,15,"6,221"
1-480698-0,B1-2-38-2,886,2,21,27,0,57
1-2391892-2,I2-3-29-1,886,1,21,27,0,57
2396367-2,C1-0-43-2,886,1,21,27,0,57
1473565-3,J1-1-51-2,886,3,21,27,0,57
2400760-1,M1-0-25-1,886,1,21,27,0,57
6-2103177-4,G2-4-5-1,886,1,21,27,0,57
1-917807-2,B1-5-30-1,886,1,21,28,1,603
1-179555-3,I2-0-41-2,886,2,22,28,1,479
1-5175975-2,F1-1-58-1,886,1,21,28,2,907
174464-1,F1-4-42-2,885,1,22,28,1,542
3-6447228-7,M2-4-43-2,885,2,22,28,1,542
1473567-3,C1-4-19-1,885,1,14,21,0,29
1-179555-3,I2-0-41-2,885,3,14,21,0,29
2822365-3,M1-3-15-1,885,2,21,28,2,"1,091"
179975-1,B2-3-5-1,885,3,20,27,0,54
1318756-1,D1-1-50-2,885,3,20,27,0,54
2260792-1,A2-5-15-1,885,1,20,27,0,54
1871186-3,B1-3-11-1,885,1,21,28,1,286
1674312-1,B1-4-23-1,885,1,21,28,1,395
172863-1,D1-2-32-2,885,2,21,28,1,395
1871186-3,B1-3-11-1,885,1,20,27,0,54
2370786-1,B2-2-12-2,885,3,21,28,1,401
1376675-1,F1-1-10-2,885,1,21,27,0,57
2287714-1,A2-4-8-2,885,1,22,28,1,481
2288662-1,A2-3-56-2,885,14,22,28,1,481
178289-5,C1-0-22-2,885,2,22,28,1,481
1717112-3,B1-5-27-1,885,4,19,25,3,"1,255"
2013029-5,B1-5-59-2,885,1,19,25,3,"1,255"
2237022-1,A2-4-45-2,885,3,20,28,3,"1,438"
967067-1,B1-1-14-2,884,6,22,28,1,673
2331759-2,C1-3-19-1,884,6,20,27,0,54
2306719-3,C1-4-58-1,884,5,20,27,0,54
2229832-1,A1-3-49-2,884,1,21,27,0,57
171406-1,A1-4-19-1,884,1,21,27,0,57
1318854-1,A1-1-3-2,884,1,22,29,2,999
1747727-1,P2-4-59-2,884,1,21,27,0,57
5-2409556-1,N1-5-27-1,884,1,21,28,2,"1,240"
1612121-1,A2-4-31-1,884,1,21,27,0,57
2229097-1,A2-4-40-2,884,15,21,27,0,57
8-912063-2,O1-4-18-2,884,1,23,28,1,563
2331755-2,G1-0-20-2,884,1,21,27,0,57
2315456-2,B1-1-6-2,884,1,21,27,0,57
3-1612274-8,M1-5-47-2,884,1,23,28,1,320
1-1903271-0,I2-1-11-1,884,1,23,28,1,320
1473797-1,A1-1-38-2,884,3,23,28,1,320
2260804-1,L2-0-12-2,883,2,23,28,1,320
1746979-1,A2-3-59-2,883,1,23,28,1,320
2291354-2,A2-4-6-2,883,2,21,27,0,57
1-178128-3,B2-0-14-2,883,1,21,27,0,57
2363778-1,A2-5-1-2,883,1,21,27,0,57
3-1473562-6,D1-4-41-1,883,1,21,27,0,57
CP4907-000,D1-0-36-1,883,1,21,27,0,57
173630-3,A2-2-13-1,883,1,21,27,0,57
2260794-1,A1-0-10-2,883,1,21,28,1,512
2312230-4,A1-2-40-1,883,1,21,28,1,512
249622-000,M1-2-5-2,883,1,21,28,1,512
2260794-1,A1-0-10-2,883,1,20,27,0,54
353830-5,G1-4-59-1,883,1,20,27,0,54
2261075-4,L2-0-20-1,883,1,20,27,0,54
2040626-1,F2-1-38-1,883,1,20,27,0,54
1-1394416-1,I1-4-5-1,883,1,20,27,0,54
176271-1,K1-1-17-2,883,1,20,27,0,54
2822802-1,B1-1-18-2,883,1,20,27,0,54
1924346-3,C1-1-47-1,883,1,14,21,0,29
172163-1,J2-3-23-1,883,1,14,22,2,670
1-353081-2,D2-3-25-1,883,2,14,22,2,670
1418421-1,C2-3-44-1,882,1,15,22,3,845
1-178288-3,B1-1-15-2,882,1,15,22,3,845
1-2040006-1,I2-1-36-2,882,1,15,245,4,"14,700"
1-1971905-2,I2-1-26-2,882,2,21,28,1,677
2350621-3,P2-0-28-2,882,2,21,27,2,"1,134"
1-178315-2,B1-5-52-1,882,2,21,27,2,"1,134"
1-917809-2,A2-5-50-1,882,1,21,27,2,"1,134"
1-2229803-2,F1-0-15-2,882,1,21,27,2,"1,134"
1-1827875-0,B2-5-3-1,882,1,21,27,1,624
1746979-1,A2-3-59-2,882,11,21,27,1,624
T1220102025-000,C2-3-7-2,882,2,21,27,1,624
174359-2,B1-0-46-2,882,1,21,27,1,624
4-2260661-1,B2-3-58-2,882,1,20,27,0,54
2291174-1,B1-5-33-1,882,2,22,28,1,417
2314983-1,C2-1-36-2,882,1,22,28,1,417
1-480703-0,F1-1-53-1,882,2,22,28,1,674
1981835-6,B1-5-19-1,882,1,15,22,3,914
9-1438789-2,B2-0-46-1,882,2,15,23,2,718
1565082-1,J1-3-10-2,882,8,15,23,3,838
174259-2,B2-4-21-1,882,2,23,28,1,892
1-1355133-1,D1-1-16-1,882,1,23,28,1,892
DTM04-2P,C2-2-56-2,882,1,22,28,2,887
DRBF-2A,E2-1-51-2,881,1,22,28,2,887
1-1618002-8,E2-5-8-2,881,1,22,28,2,887
829131P012,E2-0-2-1,881,1,22,28,2,887
390299-000,C2-2-5-2,881,1,26,30,1,927
CN5627-000,D2-0-55-1,881,1,22,28,2,995
223494-003,D1-3-51-2,881,1,23,29,0,215
690575-1,G2-5-12-1,881,1,14,21,0,29
8-1762310-9,P2-4-60-1,881,1,21,28,1,343
ZPF000000000200333,P2-4-60-2,881,1,21,28,1,398
2298181-1,L2-1-30-1,881,1,21,29,2,"1,366"
2174065-4,L1-1-33-1,881,2,21,28,1,509
311611-000,G1-3-4-1,881,1,20,28,1,335
171662-7,A1-1-46-2,881,2,21,28,0,226
1827855-4,C2-4-30-1,881,1,21,28, -   , -   
174952-1,D2-5-7-1,881,1,21,23,2,966
2103181-1,B2-3-47-2,880,1,21,28,1,283
1565080-1,C1-4-21-1,880,10,21,28,0,226
179963-1,F1-5-42-1,880,4,20,28,0,221
179227-1,C2-4-25-1,880,3,20,28,0,224
353250-2,M2-3-60-1,880,4,21,28,0,233
403091J001,E1-3-28-2,880,1,14,22,4,"1,146"
1-968857-1,C1-4-45-1,880,1,13,19,2,419
967067-1,B1-1-14-2,880,2,15,23,3,860
60-0001-011-000,N2-1-52-2,880,1,14,21,0,29
353745-7,B2-1-5-1,880,2,15,22,2,638
1-2260912-5,I2-2-35-2,880,3,15,23,3,954
1717398-2,A1-3-3-1,880,4,15,23,2,761
1717398-3,A1-3-3-2,880,22,20,27,0,54
1903165-2,K1-4-54-1,880,1,21,28,1,398
1-912156-5,I1-0-42-2,880,3,21,28,1,398
2102353-1,E1-0-25-1,880,1,16,24,2,795
2-1612289-3,A2-0-59-2,879,1,22,28,1,333
2174101-1,A1-3-6-2,879,1,22,28,1,333
2174101-1,A1-3-6-2,879,16,23,29,1,399
2260908-1,A1-0-28-2,879,2,22,28,1,437
2261052-1,A1-0-18-2,879,19,14,21,1,294
2287754-1,A1-0-1-2,879,16,16,23,3,"1,175"
2289504-1,A1-0-36-1,879,1,20,28,1,288
2289504-2,A1-0-10-1,879,6,20,28,1,453
2289504-2,A1-0-10-1,879,1,20,28,1,453
2304880-1,A1-2-46-1,879,1,21,28,1,453
2345161-1,A1-0-4-1,879,1,21,28,1,453
2371440-1,A2-1-13-2,879,28,21,28,1,453
6-912161-1,I1-0-6-2,879,143,20,28,1,454
828922-1,C1-0-60-2,878,3,21,28,1,642
1-2236898-1,D1-1-37-2,878,1,21,28,1,642
1939403-3,B1-1-22-1,878,5,20,28,1,572
2315641-5,B2-3-15-1,878,2,21,28,1,639
178323-5,C1-0-23-1,878,1,21,28,1,640
2-6376350-1,M1-2-40-2,878,1,15,23,3,"1,012"
3-2112780-1,B2-0-32-2,878,1,15,23,2,813
1473565-3,J1-1-51-2,878,2,16,24,2,643
2292492-1,A2-4-2-2,878,2,16,23,2,613
1565380-1,B1-4-32-2,878,4,22,28,1,419
175164-1,B1-3-33-2,878,4,22,28,1,419
2290477-2,A2-5-27-2,878,1,22,28,1,419
6473427-1,B1-0-55-2,878,1,22,28,1,419
1-2291727-1,F1-0-19-1,878,1,14,22,4,"1,058"
2069492-5,C2-4-47-1,878,1,14,21,0,29
2303790-1,L2-1-49-1,878,1,15,22,1,193
962191-1,O2-1-54-2,878,2,15,22,3,957
2040278-2,B1-1-60-1,878,1,14,21,2,588
2174106-1,B1-3-26-1,878,2,20,25,5,"2,423"
353842-1,B1-3-14-2,878,2,20,25,5,"2,423"
175286-2,B1-1-4-2,878,1,22,28,1,421
1717399-1,A1-0-5-1,878,2,21,28,1,477
1554558-1,J1-2-55-2,878,4,14,21,1,353
2312324-2,A2-3-50-1,878,1,14,21,1,353
2229994-2,A2-3-48-1,877,1,16,23,2,818
2293729-1,A2-4-7-1,877,2,22,28,1,356
1565749-5,F1-2-22-2,877,2,22,28,1,421
2294355-1,A2-4-52-2,877,1,22,28,1,358
2134217-1,B1-2-40-1,877,15,22,28,1,298
1717396-1,B2-0-22-1,877,6,22,28,1,361
2289503-2,A2-4-4-1,877,1,22,28,1,535
2351405-1,A2-5-22-1,877,1,23,28,1,466
171630-5,B1-3-8-2,877,1,22,28,1,421
173631-6,A2-5-9-1,877,1,22,28,1,297
1939349-1,B1-1-59-1,877,10,22,28,1,605
1827483-1,F1-5-49-1,877,9,19,25,3,"1,314"
179956-2,B1-4-43-1,877,2,15,22,2,638
1-177648-3,B2-3-30-2,877,4,21,28,0,113
1-965641-1,K2-0-17-1,877,1,21,28,0,169
1-1823640-1,B2-3-31-1,876,1,21,28,0,169
179970-1,B1-3-56-2,876,14,21,28,1,282
2842121-6,M1-3-42-1,876,1,21,28,1,282
2355795-1,C2-1-45-1,876,1,21,28,1,282
1-1718643-1,B1-4-45-2,876,1,20,27, -   , -   
2291173-2,L2-0-49-2,876,1,20,27, -   , -   
170258-1,J2-0-60-1,876,8,21,28,1,459
1-2213678-3,B1-1-11-2,876,1,21,28,1,459
6437288-1,B1-2-46-1,876,1,21,28,1,459
1717106-2,D2-4-28-1,876,2,21,28,1,459
1939608-3,B1-2-12-2,876,1,21,28,1,459
1565428-7,B1-4-10-2,876,1,21,28,1,459
2260813-1,A2-3-49-1,876,2,21,28,1,578
353717-2,C1-5-17-1,876,1,21,28,1,578
2822343-1,B1-1-3-1,875,1,21,28,1,578
2298343-1,L2-1-30-2,875,1,21,28,1,578
1871186-3,B1-3-11-1,875,1,21,28,1,588
2328263-2,A1-1-31-2,875,1,21,28,1,588
2360058-2,A2-3-50-2,875,1,21,28,1,588
2260797-1,A2-5-54-1,875,1,21,28,1,588
178448-2,K1-2-29-1,875,1,21,28,1,588
1565371-3,F1-2-20-2,875,1,21,28,1,588
2331756-2,A2-1-9-2,875,1,20,27, -   , -   
2260297-2,L1-5-52-1,875,1,20,27, -   , -   
172434-2,B1-3-23-2,875,1,20,27, -   , -   
1376358-1,J1-0-8-2,875,2,20,27, -   , -   
1123445-1,I1-3-28-2,875,1,20,27, -   , -   
2260814-1,F2-5-22-1,875,1,20,27, -   , -   
1612123-1,A2-3-53-1,875,6,20,27, -   , -   
1903611-1,B1-4-34-2,875,20,14,22,1,301
2822348-1,M1-3-11-1,875,2,15,24,2,648
